frame,MLTx,MLTy,MLTz,MLTR1,MLTR2,MLTR3,MLTR4,MLTR5,MLTR6,MLTR7,MLTR8,MLTR9,MLTTVx,MLTTVy,MLTTVz,MLTRVx,MLTRVy,MLTRVz,MLGA,MRTx,MRTy,MRTz,MRTR1,MRTR2,MRTR3,MRTR4,MRTR5,MRTR6,MRTR7,MRTR8,MRTR9,MRTTVx,MRTTVy,MRTTVz,MRTRVx,MRTRVy,MRTRVz,MRGA,SLTx,SLTy,SLTz,SLTR1,SLTR2,SLTR3,SLTR4,SLTR5,SLTR6,SLTR7,SLTR8,SLTR9,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTR1,SRTR2,SRTR3,SRTR4,SRTR5,SRTR6,SRTR7,SRTR8,SRTR9,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
1,0.061543,0.011,0.385534,-0.265615,-0.027061,-0.963723,-0.294181,-0.949648,0.107692,-0.917787,0.312142,0.245482,-0.00062,-0.001565,-0.001096,-0.321293,-1.62455,-0.554806,0.51584,-0.104392,0.040791,0.355145,-0.066017,-0.762034,0.644156,0.434162,0.559202,0.706208,-0.898264,0.327235,0.293092,0.037311,0.005726,0.000148,0.006019,-0.045474,0.087832,-0.785662,0.037592,0.038401,-0.007236,0.147699,0.682116,0.716171,-0.293228,-0.661355,0.69038,0.944564,-0.311971,0.102334,0.012565,0.001341,-0.000359,0.007498,-0.034961,0.055574,-0.733299,0.068334,0.028061,-0.050561,-0.275162,-0.001857,-0.961396,-0.233074,-0.970037,0.068582,-0.932717,0.242947,0.266485,-0.000286,-0.000772,-0.000532,-0.355856,-1.773948,-0.632,0.516959
2,0.061458,0.011149,0.385415,-0.236271,-0.049756,-0.970436,-0.286012,-0.950876,0.118334,-0.928364,0.305572,0.211643,-0.012954,0.003193,0.001947,-0.359537,-1.966746,-0.536124,0.510461,-0.10376,0.040907,0.355124,-0.068485,-0.762702,0.643106,0.432643,0.558035,0.708061,-0.898808,0.327673,0.290925,0.024944,0.003525,-0.000102,-0.04284,0.027566,0.09766,-0.784572,0.037912,0.038457,-0.007248,0.150013,0.68308,0.71477,-0.291305,-0.660321,0.692182,0.944794,-0.312053,0.099927,0.012519,0.001569,-0.000205,-0.040228,0.027196,0.096702,-0.743587,0.068296,0.028133,-0.050622,-0.246563,-0.02107,-0.968897,-0.224476,-0.971332,0.078247,-0.94277,0.236787,0.234765,0.000558,0.004931,-0.004757,-0.289759,-1.716418,-0.577655,0.511897
3,0.061276,0.011347,0.385401,-0.176188,-0.093937,-0.979887,-0.270529,-0.952478,0.139898,-0.946249,0.289847,0.143624,0.000534,0.001344,0.000941,-0.315179,-1.942499,-0.490358,0.501725,-0.102805,0.04101,0.355017,-0.071068,-0.763053,0.64241,0.431195,0.557139,0.709649,-0.8993,0.328383,0.288594,0.025541,0.000976,-0.001815,-0.000746,-0.024443,0.062525,-0.783311,0.038389,0.038512,-0.0073,0.152493,0.683647,0.713703,-0.289625,-0.659531,0.693639,0.944914,-0.312481,0.097427,0.006718,-0.001204,-0.00144,0.013456,-0.012227,-0.004516,-0.761712,0.0682,0.028232,-0.050629,-0.183551,-0.061387,-0.981091,-0.208677,-0.972867,0.099913,-0.960605,0.223071,0.165761,-0.006043,0.002665,0.00173,-0.242039,-1.573708,-0.575114,0.497691
4,0.060987,0.011456,0.38552,-0.128617,-0.154428,-0.97962,-0.247785,-0.951462,0.182468,-0.960095,0.26639,0.085331,-0.012394,0.00459,0.002921,-0.295366,-1.578047,-0.817544,0.500324,-0.102242,0.041065,0.354835,-0.0784,-0.763993,0.640437,0.426732,0.554755,0.714199,-0.900809,0.330235,0.281694,0.011432,0.008765,-0.010889,0.00053,0.038321,0.055297,-0.782769,0.038677,0.038535,-0.007388,0.159512,0.68525,0.710624,-0.284335,-0.657446,0.697794,0.945361,-0.313362,0.08997,0.006619,-0.00074,-0.001128,-0.005947,0.00426,0.040075,-0.770529,0.068061,0.028288,-0.050568,-0.13317,-0.118174,-0.984022,-0.185373,-0.972374,0.141862,-0.973602,0.201302,0.107584,-0.006097,0.002534,0.001638,-0.252447,-1.426149,-0.779841,0.492302
5,0.060754,0.011613,0.385587,-0.094289,-0.21895,-0.971193,-0.222549,-0.946193,0.234866,-0.970249,0.238551,0.041699,0.001855,0.011772,-0.008191,-0.212419,-1.360954,-0.902687,0.495748,-0.102129,0.041166,0.354611,-0.08365,-0.765069,0.638486,0.41758,0.554737,0.719603,-0.90461,0.327762,0.272243,0.000608,-0.00264,-0.001769,-0.251773,0.309568,0.209885,-0.783474,0.038738,0.038585,-0.007507,0.163176,0.686703,0.708386,-0.275312,-0.657793,0.701077,0.947404,-0.309427,0.081721,0.000302,-0.0013,-0.000874,-0.338124,0.392234,0.272759,-0.77951,0.06794,0.028363,-0.050531,-0.093142,-0.181641,-0.978943,-0.160098,-0.967691,0.194785,-0.982696,0.174869,0.061052,-0.006022,0.002704,0.001758,-0.119018,-0.625201,-1.299706,0.48822
6,0.060669,0.011699,0.385571,-0.072346,-0.249488,-0.965695,-0.208198,-0.943103,0.259194,-0.975331,0.220112,0.01749,0.001587,0.011094,-0.008664,-0.137242,-1.612788,-0.953478,0.48995,-0.102219,0.041255,0.354481,-0.086124,-0.765236,0.637956,0.416363,0.553978,0.720891,-0.904935,0.328655,0.270076,-0.001452,0.008731,-0.009668,-0.034895,0.094476,0.053924,-0.783644,0.038693,0.038627,-0.007568,0.166567,0.687197,0.707117,-0.273081,-0.656934,0.702754,0.94746,-0.310157,0.078237,-0.006063,-0.001652,-0.000488,-0.060488,0.093787,0.02245,-0.786695,0.067898,0.028407,-0.050538,-0.070238,-0.210384,-0.975091,-0.14563,-0.96487,0.218669,-0.986842,0.157361,0.037132,-0.006167,0.002366,0.00152,0.214949,-1.396548,-0.857456,0.483484
7,0.060554,0.011879,0.385534,-0.027813,-0.29873,-0.953956,-0.175557,-0.938014,0.298801,-0.984056,0.17615,-0.025166,0.000804,0.002011,0.001406,-0.136419,-1.21739,-0.967095,0.476818,-0.102503,0.041454,0.354278,-0.091081,-0.765309,0.637179,0.413853,0.552767,0.723262,-0.905594,0.330523,0.265551,-0.012477,-0.001782,4.6e-05,-0.094294,0.043888,0.229761,-0.781181,0.038557,0.038723,-0.007673,0.170787,0.687442,0.705871,-0.270746,-0.656077,0.704456,0.947379,-0.311424,0.074072,-0.006304,-0.000597,0.000223,-0.186806,0.232374,0.120943,-0.792247,0.067839,0.028498,-0.050562,-0.02151,-0.257673,-0.965992,-0.11297,-0.959401,0.25843,-0.993364,0.114687,-0.008473,-0.006246,0.002151,0.001372,0.294675,-0.825734,-0.7867,0.466502
8,0.060281,0.012305,0.385419,0.012608,-0.353383,-0.935418,-0.137262,-0.927232,0.348384,-0.990483,0.124439,-0.05903,-0.010644,0.016022,-0.005509,-0.077215,-0.974245,-0.893758,0.476161,-0.102694,0.041549,0.354207,-0.091155,-0.765099,0.637421,0.414165,0.552862,0.723011,-0.905444,0.330851,0.265653,-9.5e-05,0.000414,0.000277,-2.7e-05,3.3e-05,2.3e-05,-0.779243,0.038456,0.038778,-0.007709,0.171203,0.687331,0.705879,-0.270932,-0.655991,0.704465,0.947251,-0.311852,0.073912,-5.2e-05,0.000232,0.000158,0.001667,-0.002381,-0.001524,-0.786859,0.067707,0.028707,-0.050617,0.023051,-0.310949,-0.950146,-0.074906,-0.948264,0.308515,-0.996923,0.06406,-0.045151,-0.005196,0.00831,-0.002528,0.246877,-1.157467,-0.900837,0.457358
9,0.060082,0.012579,0.385359,0.033869,-0.380152,-0.924328,-0.119143,-0.919785,0.37386,-0.992355,0.097932,-0.075292,-0.011502,0.006753,0.004423,-0.129004,-0.995398,-0.892471,0.479919,-0.102719,0.041574,0.354226,-0.090994,-0.766903,0.635272,0.41436,0.550805,0.724467,-0.905371,0.330104,0.266828,-0.000404,0.001768,0.001185,-0.0,0.0,0.0,-0.779222,0.038444,0.038788,-0.0077,0.170603,0.689377,0.704026,-0.270962,-0.654131,0.706181,0.947351,-0.311241,0.075198,-0.000224,0.000983,0.000659,-0.000505,-8e-06,-0.001703,-0.787838,0.067608,0.028847,-0.050651,0.046188,-0.336875,-0.940415,-0.056993,-0.940775,0.334204,-0.997304,0.038161,-0.062652,-0.005336,0.007939,-0.00278,0.134106,-1.376494,-1.216851,0.458501
10,0.059529,0.013258,0.385179,0.073572,-0.432454,-0.898675,-0.096865,-0.899944,0.425076,-0.99268,0.056309,-0.106979,-0.023324,0.019723,-0.00322,-0.213809,-0.791895,-1.077606,0.492123,-0.102697,0.041608,0.354246,-0.090491,-0.772501,0.628526,0.414942,0.544367,0.728986,-0.905156,0.327727,0.270466,-0.000158,0.000691,0.000463,0.132567,-0.383344,0.72274,-0.776205,0.038454,0.038808,-0.007689,0.168973,0.695088,0.698785,-0.270983,-0.648895,0.710987,0.947636,-0.309497,0.078712,0.006016,0.001632,0.000511,0.445397,-1.293862,2.434274,-0.789961,0.067337,0.029184,-0.050737,0.089833,-0.387616,-0.917432,-0.035416,-0.921817,0.386001,-0.995326,-0.002184,-0.096538,-0.005167,0.008319,-0.002515,-0.202584,-1.127601,-1.16185,0.470094
